Joint_angle	INT_1_STR_PRE_L	INT_2_STR_PRE_R	INT_3_STR_PRE_R	INT_4_STR_PRE_R	INT_5_STR_PRE_R	INT_6_STR_PRE_R	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_9_STR_PRE_R	INT_10_STR_PRE_R	INT_11_STR_PRE_R	INT_13_STR_PRE_L	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_18_STR_PRE_R	INT_19_STR_PRE_R	INT_20_STR_PRE_L	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_1_CON_PRE_R	INT_2_CON_PRE_L	INT_3_CON_PRE_L	INT_4_CON_PRE_L	INT_5_CON_PRE_L	INT_6_CON_PRE_L	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_9_CON_PRE_L	INT_10_CON_PRE_L	INT_11_CON_PRE_L	INT_13_CON_PRE_R	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_18_CON_PRE_L	INT_19_CON_PRE_L	INT_20_CON_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_1_STR_POST_L	INT_2_STR_POST_R	INT_3_STR_POST_R	INT_4_STR_POST_R	INT_5_STR_POST_R	INT_6_STR_POST_R	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_9_STR_POST_R	INT_10_STR_POST_R	INT_11_STR_POST_R	INT_13_STR_POST_L	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_18_STR_POST_R	INT_19_STR_POST_R	INT_20_STR_POST_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_1_CON_POST_R	INT_2_CON_POST_L	INT_3_CON_POST_L	INT_4_CON_POST_L	INT_5_CON_POST_L	INT_6_CON_POST_L	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_9_CON_POST_L	INT_10_CON_POST_L	INT_11_CON_POST_L	INT_13_CON_POST_R	INT_15_CON_POST_L	INT_16_CON_POST_R	INT_18_CON_POST_L	INT_19_CON_POST_L	INT_20_CON_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_30_CON_POST_R	INT_31_CON_POST_L
0	423.896089300823	408.828647193711	344.559594108227	396.042777255387	392.188738111455	392.403437572011	417.77679916198	454.258195349574	398.471775151435	404.925100543939	437.424330989247	436.858673059613	455.22593566113	385.992583399872	409.783869250651	471.708893551229	467.576003617722	445.643987013633	458.584174299642	364.898627340691	458.202233458774	433.551318851223	379.125076118333	356.248425919184	377.582122936007	423.422140672507	401.926872904129	344.887315656	390.049369815206	383.852135144077	392.020072931437	410.489361289834	448.547910239622	402.055422334882	412.577403734286	431.185321482679	433.455965968688	452.322626623825	385.612826653323	406.377897280391	472.743183387422	457.460942891862	435.581581387332	463.373455622994	363.752962340233	460.059238160489	434.233190145184	376.415866250019	365.906032422467	369.805815359194	425.176073578306	397.876849876672	357.71583273813	390.106818763914	390.3064314515	400.361096011059	418.316598176983	454.423638520604	397.78891389726	414.655033131862	439.397425545678	432.190626420654	448.861237516018	382.410950677336	401.766247902565	465.705725432391	455.533897148927	NaN	463.862894391884	368.765181621288	465.890477310625	445.089947638397	373.128397283609	364.327510823137	378.372338202793	422.639958415281	394.147433824177	360.123592848387	389.703067811796	384.381013405578	401.701950398998	416.804227750312	458.02151164029	393.317595389604	416.415007061286	435.287565609614	434.826891801136	450.180850200311	379.365080502198	399.581858727587	460.121055248265	454.381350684525	437.40243621148	459.685706554721	361.595939718055	465.838240458387	439.278575080445	376.641090394115	360.527318931935	372.374897607663
0.5	424.325685847575	409.172103803902	344.827624597165	395.865057472306	392.470583518021	392.616856302265	418.119190410852	454.705393860534	398.872284167906	405.279827235795	437.787984688023	437.172459618261	455.583067601677	386.165403706816	410.092383637314	472.134092401356	467.843168079399	445.953214287617	458.910081994135	365.107271051477	458.40002684709	433.897282465864	379.447919754217	356.372253938027	377.688986577092	423.669972970089	402.205932977263	345.138172243171	390.269609725664	384.028811267471	392.199682097416	410.796846563745	448.918838254944	402.233150004716	412.722904867343	431.437741908934	433.725123070232	452.593119647089	385.840756299186	406.462191772061	472.935374867376	457.839157652902	435.783777354489	463.591697365367	363.973359843558	460.617034618107	434.398286276518	376.643639356298	366.176788770502	369.986549405761	425.659304072949	398.129934660099	357.910815863798	390.421104629406	390.586817188959	400.630544331375	418.721829841156	454.899350308076	398.17231608194	415.03922337295	439.837392516893	432.391074367168	449.299080313596	382.602328692129	402.235240481665	466.159249969213	455.873456951361	NaN	464.357135037531	369.031965629338	466.216898770448	445.302077937268	373.449652694949	364.53315405452	378.469414572297	422.881698809528	394.229067785273	360.329104956422	389.885453372589	384.614874044191	401.937971835015	417.079425207116	458.241532601423	393.508917239188	416.696100526322	435.621916609117	435.199583827378	450.411962267304	379.580154758852	399.79842638918	460.340293625852	454.725622117625	437.64772129438	459.906571269746	361.743751531635	466.090082579624	439.476236662802	376.810823007492	360.654343064333	372.545335326675
1	424.781766901064	409.506165839683	345.086465608711	395.478982439631	392.788802570124	392.944597389745	418.458308166997	455.166770909086	399.188249705336	405.682140648746	438.128655799007	437.431711069945	455.95571594654	386.346139026108	410.359444893957	472.571597445879	468.138282630186	446.246278329319	459.285216899406	365.411466125347	458.91189331861	434.305390037294	379.709493644924	356.450059943713	377.765129746922	423.888426225549	402.475390940017	345.428650096129	390.442549332786	384.217202030731	392.353513727644	411.076285403107	449.267699908085	402.464759645894	412.87238291614	431.723630591861	433.99409824805	452.802840826948	386.075888822769	406.559041137825	473.203874592223	458.254322917656	436.039856184245	463.88955968045	364.224479245484	460.895922447408	434.684952450918	376.885640843405	366.447531401201	370.103069237866	426.146492484842	398.439832374596	358.0340094439	390.753137281733	390.980796252116	400.811692273373	419.172595138454	455.252462958208	398.430784335643	415.415354623654	440.281974214468	432.715385079971	449.742988484562	382.837833410765	402.68313545127	466.616347972852	456.239486771594	NaN	464.632175224039	369.294396100204	466.400525625071	445.687161740452	373.732300915617	364.804813078936	378.575367130561	423.08706243066	394.297037334251	360.589484622214	390.094809203338	384.859115201041	402.210592102925	417.316750563424	458.514420916357	393.620745284909	416.934814809536	435.968689213916	435.565255626248	450.660351273659	379.805010536532	400.041339535665	460.57822499134	455.119529979809	437.906693126756	460.301513141669	361.833776308414	466.455398662029	439.674819995697	376.972330564887	360.847820562681	372.719260130537
1.5	425.207225049272	409.847815228697	345.396351938231	395.131665232311	393.095461405737	393.258214804089	418.805194264998	455.606088957184	399.477002874392	406.026854591885	438.479370941929	437.762084167327	456.304776525156	386.431913641852	410.563342542897	472.984952295511	468.435038192542	446.517124547373	459.612153796863	365.694497852118	459.326023861223	434.658799231865	379.986099300366	356.540112200574	377.90773591325	424.202510422872	402.691409395556	345.624101823879	390.607630983742	384.434964399805	392.557213960509	411.3703314315	449.6462202666	402.651263976128	413.059439074695	432.006708110134	434.266956390769	452.992191651667	386.312426646824	406.654156595784	473.460696980678	458.643042575662	436.451941256249	464.121558767137	364.472933192562	461.498669958903	435.018483457159	377.156085471601	366.710505786146	370.226042803483	426.557840987766	398.922845744134	358.239065081219	391.063327371946	391.212633500956	401.028695930442	419.601827290932	455.637287664089	398.763843106459	415.746264883663	440.660823356375	432.917091513603	450.101289420996	383.051170694303	403.101202016267	467.056026502314	456.548075178762	NaN	465.006817607737	369.534932798827	466.635191597885	446.081814004124	373.929007034422	365.053168649841	378.672055618803	423.279762180436	394.440336530399	360.86529377087	390.351538224194	385.140029908384	402.470338589694	417.579522147052	458.773973778111	393.780813242983	417.232362875268	436.432455113071	435.943568686536	450.905971839581	380.027884217805	400.340413795764	460.878907727383	455.496150098177	438.337454466437	460.83720109266	361.948041254785	467.003994850211	439.891944502662	377.11346173318	361.032990448385	372.86645106767
2	425.678526998008	410.166483513004	345.681337328098	395.037965392106	393.423132515002	393.580569905595	419.125896408716	456.08307679612	399.812497517891	406.326773404864	438.822649465093	438.116227809334	456.662375620567	386.617563995032	410.750920849435	473.45251543235	468.746121272008	446.7567265242	459.90587151662	365.910241861106	459.672836612344	435.031705968499	380.29812453662	356.680262680408	378.025321765467	424.425714109653	402.927980441389	345.905192068896	390.822844293778	384.626252472482	392.731759186967	411.640813288834	449.997650442149	402.884255141788	413.303915799862	432.311452370602	434.502887163302	453.236944926982	386.495046334501	406.769215947982	473.749256880919	459.08386590911	436.696719959091	464.417146477576	364.693202560367	461.998467888111	435.351333526405	377.425134547579	367.012836768598	370.415669024924	427.001981696667	399.332811828249	358.414702702807	391.37268614542	391.499095161539	401.383263651297	419.969134924266	456.025188851533	399.152706850523	416.094183597874	441.103698792666	433.188603709019	450.466574289568	383.311910620299	403.489949290161	467.51302825291	456.83807130595	NaN	465.422921064868	369.778021330754	466.896279521481	446.429610472141	374.283326600071	365.243148940708	378.801308735047	423.517104544269	394.47231553186	361.111948961464	390.469310198976	385.41417933031	402.703588389172	417.854234027842	459.023565976105	393.841883826989	417.507119541642	436.808575930125	436.297917900671	451.135807940054	380.285851683524	400.548205347938	461.17727591946	455.869763213976	438.581851138703	461.220554676294	362.097922965891	467.513658411701	440.163542026069	377.267613159922	361.189708060322	373.020189358244
2.5	426.022494729937	410.478611477905	345.902728548126	395.12394543719	393.734311590408	393.84249046537	419.472905445736	456.520828242163	400.104916818108	406.595731214711	439.179512742396	438.420217736977	457.035795484128	386.742085068487	410.970380199816	473.908760533541	469.078440162359	446.925900835085	460.181966337057	366.15807435518	460.144048405128	435.416622958304	380.593122372106	356.817893042015	378.146265015261	424.624396564633	403.108301509274	346.197502581941	391.009540001106	384.859666716015	392.878524963392	411.918442941242	450.364541652102	403.12079931797	413.483371334622	432.623471292229	434.831670940668	453.444530299222	386.700411108673	406.878977055862	473.995141237157	459.477225944203	437.036114966184	464.723668045678	364.910803532228	462.260255405301	435.613986415343	377.682215107004	367.261165568515	370.583498976617	427.382714843852	399.677880618148	358.666099946495	391.690173659856	391.832869095268	401.715331712308	420.346163432601	456.490011743662	399.519998553126	416.470383932669	441.453065461225	433.589520240582	450.881563076986	383.581559210667	403.84377334319	467.905479722521	457.149213265855	NaN	465.737890132381	370.040633797461	467.153405921539	446.775675979558	374.712086863011	365.457250637383	378.941635883735	423.731325106499	394.567400820092	361.336690987363	390.571631232142	385.714132383254	402.888121842669	418.129084345947	459.222863181007	393.960214086019	417.76301657898	437.19293557943	436.656970529067	451.400630176082	380.518728266768	400.665847315597	461.482290579317	456.279253739928	438.92696970514	461.604678934434	362.22559204179	467.808932605283	440.401592587887	377.481638487961	361.317040003651	373.250828645334
3	426.335995659459	410.757114689292	346.10204194869	394.214681503705	394.066949917265	394.116138025795	419.781735521492	456.906156179095	400.37600776218	406.776137754601	439.526930722304	438.68829557658	457.401968169157	387.024331927857	411.195706387092	474.335688843714	469.38132200424	447.295270815772	460.515088376081	366.386730536178	460.431875679962	435.739597248583	380.887097542498	356.915290746282	378.255399411522	424.814243025548	403.352854770982	346.428474904173	391.195263097851	385.105987305568	393.038051950305	412.193051735002	450.708514009141	403.37071300066	413.663576967581	432.945563695318	435.081013637586	453.668223778694	386.960655006683	406.931372803446	474.276296496212	459.880965970439	437.305747521079	465.000451474773	365.085283228372	462.58621608493	435.842530244419	377.941165702785	367.507574464843	370.709987962071	427.763521072747	400.088958766298	358.887658624985	392.033222434715	392.091266772048	401.985758665017	420.760628844525	456.875871269121	399.891935354367	416.838949840471	441.859387510611	434.024899535797	451.266501102995	383.800405102482	404.333212797469	468.26247866146	457.451596217693	NaN	466.060105312912	370.267523764884	467.605046971206	447.07844829366	375.072788240388	365.647867598109	379.084628521975	423.930710302268	394.735906479755	361.496861218097	390.69839063737	386.01089667294	402.992894326959	418.350949071864	459.448371944455	394.093130202734	418.048815203431	437.544762918411	437.091727578029	451.691970982048	380.67805412875	400.856408389176	461.844616148884	456.618589907535	439.302246833733	462.026060471363	362.372456742964	468.269243904035	440.61381716968	377.606539953541	361.475822557477	373.459157134907
3.5	426.640687218982	411.05419826681	346.293976204157	393.502124520404	394.384453662159	394.325613521863	420.06932229838	457.322133485119	400.604820080564	407.157474176845	439.880973211664	439.006281442494	457.754062643055	387.315455789418	411.405939021885	474.773106647817	469.687971428628	447.854851530373	460.823091768192	366.599187699599	460.831792702543	436.068862607855	381.142649421066	357.043255427068	378.422531820424	425.126691002083	403.53978844814	346.6357091542	391.415012993498	385.324244821164	393.196773525215	412.514604383811	451.050396128459	403.568017003788	413.862141370881	433.238948026274	435.345019473138	453.865027569452	387.185970292212	406.903357155824	474.548651884537	460.275406531835	437.72644321722	465.314201076412	365.293901389012	462.764004887467	436.061254056867	378.213857359236	367.812607175594	370.838183546642	428.191995958925	400.513951607143	359.01675462563	392.362648200015	392.348496371633	402.329132501955	421.200562510291	457.309151968786	400.233537419551	417.204363441898	442.227118549362	434.227431814776	451.65878306517	384.017385626559	404.781614427767	468.725967934328	457.72747380133	NaN	466.244335751538	370.528879527699	467.889013853674	447.35741711192	375.479919518191	365.877273001061	379.221968717714	424.062857541709	394.812864496867	361.624687278649	390.798957249326	386.273867529725	403.316123969112	418.602455635316	459.678864895278	394.243267156115	418.281166497512	437.873353984131	437.475643406094	451.908972861573	380.856672861479	401.169819237658	462.133517543418	456.875257181417	439.664013144936	462.371462193929	362.534715740362	468.619782956071	440.826970038957	377.785868457713	361.684030353221	373.611844768811
4	427.01082499167	411.322395747679	346.418006106968	393.476988910886	394.677923022013	394.599708185734	420.408890082006	457.750498673247	400.841544908997	407.462887234863	440.210410781214	439.356486049138	458.097631987223	387.195122449696	411.612679416479	475.195668319042	469.981610803711	448.336028983866	461.188856497294	366.83932879292	461.259658127481	436.429201676149	381.41779463545	357.199987762761	378.588642142048	425.301847977636	403.673810943482	346.846374042022	391.60275970215	385.565162104226	393.348701109141	412.843309094732	451.389163756699	403.689945108349	414.073690684995	433.480652093294	435.598378483208	454.059102796631	387.375180724528	406.921993675202	474.788976635282	460.654796919401	438.067606787457	465.610407324019	365.505094642405	463.133292051929	436.297811079717	378.449277236572	368.118530437699	370.935845316206	428.537103717262	400.874051641433	359.216773406761	392.644244130854	392.560941850479	402.618124856956	421.59715790197	457.58565374	400.521536519911	417.511511683903	442.592759714939	434.609211260793	452.043449852483	384.240550838038	405.297537468753	469.134969933799	457.946175414496	NaN	466.663785135886	370.759283689	468.400353996632	447.653944612909	375.786090552823	366.095360451314	379.399610829438	424.217501915423	394.915432217166	361.765712066978	391.019436438545	386.561206851719	403.642347016127	418.855414193045	459.950018076198	394.379227750425	418.42945687243	438.169487500085	437.822211728853	452.157018885222	381.030064537178	401.577861737905	462.420860795077	457.164151628667	440.088847600897	462.772429099841	362.666971908276	468.745473069097	440.962011420278	377.978391657175	361.865159107189	373.808452392771
4.5	427.361115863231	411.604371177495	346.548238218202	393.689372125262	394.979505511266	394.94655068638	420.733596606092	458.148558490631	401.207256830582	407.847596137121	440.526082406501	439.796062894294	458.428380994861	387.144637576645	411.765951432469	475.607328919123	470.252588440921	448.71778529142	461.538150252258	367.142652380223	461.524471256539	436.737442421079	381.676621795767	357.367297286379	378.737723729995	425.514732116534	403.782153083132	347.115362654699	391.867737821359	385.806526201064	393.482662022418	413.152790253643	451.739349747147	403.833586654369	414.300967638351	433.725490475284	435.770275644042	454.213719621389	387.606725592488	406.977853020954	475.014321918725	461.017701162777	438.482377601221	465.907401953035	365.652929835581	463.491334245152	436.510666016839	378.674845258124	368.383308855528	371.06012757957	428.918902082935	401.232758929807	359.384524047863	392.953389753103	392.754461934028	402.939085796163	421.93946639893	457.99283552504	400.814309080973	417.843255609658	442.959673052925	435.059903442229	452.469710050922	384.442522362706	405.739660092195	469.529704230494	458.165203944306	NaN	467.234975366755	370.976611524111	468.888403910048	447.959705425869	376.083056827047	366.332325847472	379.544303303223	424.414828185115	395.03929099549	361.954228451746	391.107321288069	386.84438848673	403.898921172227	419.124423795929	460.225101007183	394.522397060365	418.724598157177	438.498420080927	438.230998231445	452.434646486961	381.231549953986	401.931267741396	462.674932746298	457.480439885722	440.428027097487	463.050064283692	362.785807537414	469.064830384651	441.113344171129	378.120466462867	362.04697517056	374.01753793787
