Joint_angle	STR_PP_7__7	STR_PP_8__8	CON_PP_7__7	CON_PP_8__8
0	11.8516141581487	-8.88218344913109	15.3344493213346	0.320579972734386
0.5	11.9191984418873	-8.84301185589704	15.5511325465397	0.836737268210108
1	12.0417136881951	-8.64038763769472	15.8544951008228	1.34451957048615
1.5	12.1499591049386	-8.66305980247676	16.2048002937874	2.07400160919052
2	12.249813982979	-8.6154665359437	16.3777511346672	2.87753073867922
2.5	12.395165043535	-8.60941836189567	16.7258045925589	3.73355805340798
3	12.4584822944597	-8.63304052854278	17.1224862883342	4.57156537677999
3.5	12.3680203800843	-8.72593512107298	17.5627552270532	5.28164063994788
4	12.3828280637489	-8.66441451983759	18.0065593577604	5.82605112750835
4.5	12.4059517580215	-8.79833515578498	18.2435068493874	6.30160622475523
5	12.4310121598838	-8.72622843660492	18.3945416618561	6.6549513395507
5.5	12.4062063511196	-8.9548552036159	18.748555188124	7.08232009507806
6	12.2136924314835	-9.04719876039186	19.1615455967686	7.46658994471424
6.5	12.0873443273797	-9.07156088660801	19.4909956610844	7.83291929663777
7	12.1180181408766	-9.18106877214507	19.7578276689253	8.42169565188792
